timestamp, ax, ay, az, wx, wy, wz, lat, lon, alt_m, travel_r_v
613,-0.421735,0.487538,-1.017548,0.004887,-0.006109,0.004887,0.00000000000000,0.00000000000000,0.000000,3.254066
616,-0.421735,0.487538,-1.017548,0.002443,-0.006109,0.006109,0.00000000000000,0.00000000000000,0.000000,3.276630
619,-0.422333,0.488136,-1.017548,0.002443,-0.006109,0.006109,0.00000000000000,0.00000000000000,0.000000,3.279854
621,-0.422333,0.488136,-1.017548,0.002443,-0.006109,0.006109,0.00000000000000,0.00000000000000,0.000000,3.260513
636,-0.422333,0.486939,-1.016351,0.003665,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.282271
638,-0.422333,0.486939,-1.016351,0.003665,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.290329
641,-0.422333,0.486939,-1.016351,0.003665,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.278242
643,-0.422333,0.486939,-1.016351,0.003665,-0.007330,0.002443,0.00000000000000,0.00000000000000,0.000000,3.292747
646,-0.422333,0.486939,-1.018146,0.003665,-0.007330,0.002443,0.00000000000000,0.00000000000000,0.000000,3.269377
661,-0.422931,0.486939,-1.017548,0.003665,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.272601
663,-0.422931,0.486341,-1.018146,0.003665,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.288718
666,-0.422931,0.486341,-1.018146,0.003665,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.266154
668,-0.422931,0.486341,-1.018146,0.003665,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.270183
683,-0.422333,0.485743,-1.018744,0.003665,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.279048
686,-0.422333,0.485743,-1.018744,0.003665,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.258095
688,-0.422333,0.485743,-1.018744,0.003665,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.295971
691,-0.422931,0.486341,-1.019342,0.004887,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.255678
693,-0.422931,0.486341,-1.019342,0.004887,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.291941
708,-0.422931,0.488136,-1.018744,0.002443,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.274212
711,-0.422931,0.488136,-1.018744,0.002443,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.294359
749,-0.422333,0.488136,-1.018744,0.004887,-0.006109,0.004887,0.00000000000000,0.00000000000000,0.000000,3.293553
751,-0.422333,0.488136,-1.018744,0.004887,-0.006109,0.004887,0.00000000000000,0.00000000000000,0.000000,3.287912
766,-0.422333,0.486341,-1.019941,0.006109,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.280659
769,-0.422333,0.486341,-1.019941,0.006109,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.287912
771,-0.422333,0.486341,-1.019941,0.004887,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.262930
774,-0.421735,0.486939,-1.018744,0.004887,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.289524
776,-0.421735,0.486939,-1.018744,0.004887,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.287912
791,-0.421735,0.486341,-1.018146,0.009774,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.274212
793,-0.421735,0.486341,-1.018146,0.009774,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.281465
796,-0.421735,0.486341,-1.018146,0.009774,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.285494
799,-0.421735,0.486341,-1.018146,0.008552,-0.009774,0.003665,0.00000000000000,0.00000000000000,0.000000,3.270183
813,-0.421735,0.487538,-1.019342,0.013439,-0.009774,0.003665,0.00000000000000,0.00000000000000,0.000000,3.289524
816,-0.421735,0.487538,-1.019342,0.013439,-0.009774,0.003665,0.00000000000000,0.00000000000000,0.000000,3.272601
818,-0.422931,0.486939,-1.018744,0.013439,-0.009774,0.002443,0.00000000000000,0.00000000000000,0.000000,3.269377
821,-0.422931,0.486939,-1.018744,0.013439,-0.009774,0.002443,0.00000000000000,0.00000000000000,0.000000,3.254872
824,-0.422931,0.486939,-1.018744,0.013439,-0.009774,0.002443,0.00000000000000,0.00000000000000,0.000000,3.284689
838,-0.421735,0.488136,-1.018146,0.009774,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.262124
841,-0.421735,0.488136,-1.018146,0.009774,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.269377
843,-0.421735,0.488136,-1.018146,0.009774,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.259707
846,-0.422333,0.486939,-1.018744,0.012217,-0.009774,0.003665,0.00000000000000,0.00000000000000,0.000000,3.280659
884,-0.422333,0.486939,-1.018744,0.007330,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.294359
887,-0.422333,0.486939,-1.018744,0.007330,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.275018
889,-0.422333,0.486939,-1.018744,0.006109,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.266960
